Angle,Arm,Background,GatedMag
12.0,0.0,0.0,2.06186204e-01
14.0,0.0,0.0,2.00904836e-01
16.0,0.0,0.0,2.29874612e-01
18.0,0.0,0.0,2.90640710e-01
20.0,0.0,0.0,3.36869693e-01
22.0,0.0,0.0,3.60958171e-01
24.0,0.0,0.0,3.75607852e-01
26.0,0.0,0.0,3.12452205e-01
28.0,0.0,0.0,2.94734466e-01
30.0,0.0,0.0,3.15992252e-01
32.0,0.0,0.0,3.62509736e-01
34.0,0.0,0.0,4.79744097e-01
36.0,0.0,0.0,5.02514718e-01
38.0,0.0,0.0,4.97204689e-01
40.0,0.0,0.0,3.98984691e-01
42.0,0.0,0.0,3.27180246e-01
44.0,0.0,0.0,2.99172778e-01
46.0,0.0,0.0,3.08761091e-01
48.0,0.0,0.0,3.52031144e-01
50.0,0.0,0.0,4.13946082e-01
52.0,0.0,0.0,4.16027768e-01
54.0,0.0,0.0,3.96336541e-01
56.0,0.0,0.0,3.13894474e-01
58.0,0.0,0.0,2.83239859e-01
60.0,0.0,0.0,2.85525333e-01
62.0,0.0,0.0,3.32645037e-01
64.0,0.0,0.0,4.02600269e-01
66.0,0.0,0.0,4.34584183e-01
68.0,0.0,0.0,4.49441876e-01
70.0,0.0,0.0,4.40298581e-01
72.0,0.0,0.0,3.90343983e-01
74.0,0.0,0.0,3.76932996e-01
76.0,0.0,0.0,4.09618098e-01
78.0,0.0,0.0,4.85960103e-01
80.0,0.0,0.0,5.95803747e-01
82.0,0.0,0.0,6.95933444e-01
84.0,0.0,0.0,7.04401019e-01
86.0,0.0,0.0,5.92089799e-01
88.0,0.0,0.0,5.34707441e-01
90.0,0.0,0.0,5.27250050e-01
92.0,0.0,0.0,5.81106437e-01
94.0,0.0,0.0,6.71035558e-01
96.0,0.0,0.0,7.75013365e-01
98.0,0.0,0.0,8.03112413e-01
100.0,0.0,0.0,7.89525935e-01
102.0,0.0,0.0,7.28784288e-01
104.0,0.0,0.0,6.80011432e-01
106.0,0.0,0.0,6.71104411e-01
108.0,0.0,0.0,7.22481143e-01
110.0,0.0,0.0,8.26539032e-01
112.0,0.0,0.0,9.33953999e-01
114.0,0.0,0.0,9.53510887e-01
116.0,0.0,0.0,9.08095801e-01
118.0,0.0,0.0,8.12401173e-01
120.0,0.0,0.0,7.78587551e-01
122.0,0.0,0.0,7.66034469e-01
124.0,0.0,0.0,8.03921881e-01
126.0,0.0,0.0,8.73741685e-01
128.0,0.0,0.0,9.10408430e-01
130.0,0.0,0.0,8.89295462e-01
132.0,0.0,0.0,8.19610932e-01
134.0,0.0,0.0,7.41755676e-01
136.0,0.0,0.0,7.14141714e-01
138.0,0.0,0.0,7.20357776e-01
140.0,0.0,0.0,7.92657323e-01
142.0,0.0,0.0,8.36742390e-01
144.0,0.0,0.0,8.49303093e-01
146.0,0.0,0.0,8.26135739e-01
148.0,0.0,0.0,7.67413546e-01
150.0,0.0,0.0,7.21120573e-01
152.0,0.0,0.0,7.35548587e-01
154.0,0.0,0.0,7.85347091e-01
156.0,0.0,0.0,8.47539846e-01
158.0,0.0,0.0,9.32122830e-01
160.0,0.0,0.0,9.43690088e-01
162.0,0.0,0.0,8.67093405e-01
164.0,0.0,0.0,7.63370604e-01
166.0,0.0,0.0,7.01812595e-01
168.0,0.0,0.0,6.91628613e-01
170.0,0.0,0.0,7.36667502e-01
172.0,0.0,0.0,8.02657052e-01
174.0,0.0,0.0,8.79228922e-01
176.0,0.0,0.0,9.51570129e-01
178.0,0.0,0.0,1.00000000e+00
